prob,N,vPOC,vSUR,vSTO,instance,statusPOC,statusSTO,timePOC,noIterPOC,timeSUR,objPOC,objSUR,objSTO,nswPOC,nswSUR,nswSTO,timeSTO,noIterSTO,wi
calcium,2,1,0,1,101,success,TimeLimit,552.28514,236,,1959.284,,,0.015876421,,,,,"['0.8873323932449425', ' 0.9032088141106672']"
calcium,2,1,0,1,102,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,103,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,104,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,105,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,106,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,107,Maxiter,MaxiterPOC,,,,,,,,,,,,
calcium,2,1,0,1,108,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,109,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,110,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,111,success,TimeLimit,2059.3766,1008,,1959.284,,,0.015876421,,,,,"['0.8873323932449455', ' 0.9032088141106744']"
calcium,2,1,0,1,112,success,TimeLimit,446.33764,260,,1959.284,,,0.015876421,,,,,"['0.8873323932449589', ' 0.9032088141106919']"
calcium,2,1,0,1,113,success,TimeLimit,576.12692,271,,1959.284,,,0.015876421,,,,,"['0.8873323932449437', ' 0.9032088141106757']"
calcium,2,1,0,1,114,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,115,success,TimeLimit,572.17634,340,,1959.284,,,0.015876421,,,,,"['0.8873323932449423', ' 0.9032088141106791']"
calcium,2,1,0,1,116,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,117,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,118,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,119,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,120,success,TimeLimit,396.64589,171,,1959.284,,,0.015876421,,,,,"['0.8873323932449536', ' 0.9032088141106858']"
calcium,2,1,0,1,121,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,122,success,TimeLimit,649.12229,366,,1959.284,,,0.015876421,,,,,"['0.8873323932449486', ' 0.9032088141106788']"
calcium,2,1,0,1,123,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,124,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,125,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,126,Maxiter,MaxiterPOC,,,,,,,,,,,,
calcium,2,1,0,1,127,success,TimeLimit,874.98204,507,,1959.284,,,0.015876421,,,,,"['0.8873323932449596', ' 0.9032088141106843']"
calcium,2,1,0,1,128,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,129,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,130,success,TimeLimit,1319.1513,563,,1959.284,,,0.015876421,,,,,"['0.8873323932449485', ' 0.9032088141106753']"
calcium,2,1,0,1,131,success,TimeLimit,890.77219,526,,1959.284,,,0.015876421,,,,,"['0.8873323932449387', ' 0.9032088141106707']"
calcium,2,1,0,1,132,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,133,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,134,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,135,success,TimeLimit,2645.3565,899,,1959.284,,,0.015876421,,,,,"['0.8873323932449400', ' 0.9032088141106679']"
calcium,2,1,0,1,136,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,137,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,138,success,TimeLimit,971.76702,574,,1959.284,,,0.015876421,,,,,"['0.8873323932449405', ' 0.9032088141106626']"
calcium,2,1,0,1,139,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,140,success,TimeLimit,1055.3693,415,,1959.284,,,0.015876421,,,,,"['0.8873323932449666', ' 0.9032088141106862']"
calcium,2,1,0,1,141,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,142,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,143,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,144,success,TimeLimit,1246.1942,723,,1959.284,,,0.015876421,,,,,"['0.8873323932449385', ' 0.9032088141106748']"
calcium,2,1,0,1,145,success,TimeLimit,301.56775,155,,1959.284,,,0.015876421,,,,,"['0.8873323932449636', ' 0.9032088141106908']"
calcium,2,1,0,1,146,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,147,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,148,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,149,success,TimeLimit,796.13786,457,,1959.284,,,0.015876421,,,,,"['0.8873323932449442', ' 0.9032088141106736']"
calcium,2,1,0,1,150,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,151,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,152,success,TimeLimit,404.02881,197,,1959.284,,,0.015876421,,,,,"['0.8873323932449296', ' 0.9032088141106627']"
calcium,2,1,0,1,153,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,154,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,155,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,156,success,TimeLimit,2398.2824,1349,,1959.284,,,0.015876421,,,,,"['0.8873323932449484', ' 0.9032088141106793']"
calcium,2,1,0,1,157,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,158,success,TimeLimit,399.58387,187,,1959.284,,,0.015876421,,,,,"['0.8873323932449522', ' 0.9032088141106865']"
calcium,2,1,0,1,159,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,160,success,TimeLimit,337.92185,161,,1959.284,,,0.015876421,,,,,"['0.8873323932449472', ' 0.9032088141106737']"
calcium,2,1,0,1,161,success,TimeLimit,3005.9173,334,,1959.284,,,0.015876421,,,,,"['0.8873323932449401', ' 0.9032088141106682']"
calcium,2,1,0,1,162,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,163,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,164,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,165,success,TimeLimit,1231.5995,742,,1959.284,,,0.015876421,,,,,"['0.8873323932449426', ' 0.9032088141106720']"
calcium,2,1,0,1,166,success,TimeLimit,477.95743,281,,1959.284,,,0.015876421,,,,,"['0.8873323932449559', ' 0.9032088141106808']"
calcium,2,1,0,1,167,success,TimeLimit,904.30131,473,,1959.284,,,0.015876421,,,,,"['0.8873323932449488', ' 0.9032088141106835']"
calcium,2,1,0,1,168,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,169,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,170,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,171,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,172,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,173,success,TimeLimit,463.89258,288,,1959.284,,,0.015876421,,,,,"['0.8873323932449446', ' 0.9032088141106740']"
calcium,2,1,0,1,174,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,175,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,176,success,TimeLimit,183.83661,107,,1959.284,,,0.015876421,,,,,"['0.8873323932449629', ' 0.9032088141106843']"
calcium,2,1,0,1,177,success,TimeLimit,532.42851,293,,1959.284,,,0.015876421,,,,,"['0.8873323932449556', ' 0.9032088141106878']"
calcium,2,1,0,1,178,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,179,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,180,success,TimeLimit,377.84719,149,,1959.284,,,0.015876421,,,,,"['0.8873323932449549', ' 0.9032088141106807']"
calcium,2,1,0,1,181,success,TimeLimit,682.66622,391,,1959.284,,,0.015876421,,,,,"['0.8873323932449535', ' 0.9032088141106878']"
