#
# This file is part of ampl_mintoc.
#
# Copyright 2021, Sebastian Sager, Manuel Tetschke, Clemens Zeile
# All rights reserved.
#
# This source code is licensed under the BSD-style license found in the
# LICENSE file in the root directory of this source tree. 
#
# ampl_mintoc is free software: you can redistribute it and/or modify
# it under the terms of the BSD-style License
#
# ampl_mintoc is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. 
#


# ------------------------------------
# Data: Double Tank Problem (from Mintoc.de)
# ------------------------------------

# Dimensions, all other 0 by default
param nxd := 3;
param no := 1;
param nre := 3;

# Algorithmic parameters
param nt := 1200;
param ntperu := 240;

# Problem parameters
let T := 10.0;
let ref[1] := 2.0;
let ref[2] := 3.0;

# Initial values control
let {i in IU} wi[1,i] := 0.0;

# Plot names
let nplots := 1;
let filename_base := "stellato";
let {k in X} plotx[k] := 1;
let {o in Omega} plotw[o] := 1;
let plotx_name[1] := "Tank 1";
let plotx_name[2] := "Tank 2";
let plotx_name[3] := "Reference";
let plotw_name[1] := "Inflow into Tank 1";

