N Poc_var Inst_no param_TV_max Sim_Obj nsw 
100 2 101 2 1.54744077 2 
100 2 101 3 1.55333528 3 
100 2 101 4 1.42143411 4 
100 2 101 5 1.40770283 4 
100 2 101 6 1.35340503 6 
100 2 101 7 1.40993986 7 
100 2 101 8 1.38468848 8 
100 2 101 9 1.37620408 8 
100 2 101 10 1.37785036 10 
100 2 101 11 1.37757211 10 
100 2 101 12 1.35315814 12 
100 2 101 13 1.35481314 12 
100 2 101 14 1.35517804 14 
100 2 101 15 1.35517804 14 
100 2 101 16 1.35517804 14 
100 2 101 17 1.35517804 14 
100 2 101 18 1.35517804 14 
100 2 101 19 1.35517804 14 
100 2 101 20 1.35517804 14 
100 2 101 21 1.35517804 14 
100 2 101 22 1.35517804 14 
100 2 101 23 1.35517804 14 
100 2 101 24 1.35517804 14 
100 2 101 25 1.35517804 14 
100 2 101 26 1.35517804 14 
100 2 101 27 1.35517804 14 
100 2 101 28 1.35517804 14 
100 2 101 29 1.35517804 14 
100 2 101 30 1.35517804 14 
100 2 101 31 1.35517804 14 
100 2 101 32 1.35517804 14 
100 2 101 33 1.35517804 14 
100 2 101 34 1.35517804 14 
100 2 101 35 1.35517804 14 
100 2 101 36 1.35517804 14 
100 2 101 37 1.35517804 14 
100 2 101 38 1.35517804 14 
100 2 101 39 1.35517804 14 
100 2 101 40 1.35517804 14 
100 2 101 41 1.35517804 14 
100 2 101 42 1.35517804 14 
100 2 101 43 1.35517804 14 
100 2 101 44 1.35517804 14 
100 2 101 45 1.35517804 14 
100 2 101 46 1.35517804 14 
100 2 101 47 1.35517804 14 
100 2 101 48 1.35517804 14 
100 2 101 49 1.35517804 14 
100 2 101 50 1.35517804 14 
