N Poc_var Inst_no No_occurences POC_obj STO_obj STO_nsw Iter_k Sim_Obj nsw 
2 2 101 1 5.4093781 7.0648689 1 0 8.51593312 1 
2 2 101 1 5.4093781 7.0648689 1 1 19.7124523 1 
2 2 101 1 5.4093781 7.0648689 1 2 6.43512941 3 
2 2 101 1 5.4093781 7.0648689 1 3 6.29203245 7 
2 2 101 1 5.4093781 7.0648689 1 4 5.80217387 15 
3 2 101 1 4.9811413 4.0754267 3 0 5.33551897 1 
3 2 101 1 4.9811413 4.0754267 3 1 6.33957817 2 
3 2 101 1 4.9811413 4.0754267 3 2 5.38040954 4 
3 2 101 1 4.9811413 4.0754267 3 3 5.0340384 7 
3 2 101 1 4.9811413 4.0754267 3 4 4.97440016 13 
4 2 101 1 2.7550562 1.7222017 4 0 5.08585978 3 
4 2 101 1 2.7550562 1.7222017 4 1 2.70937461 3 
4 2 101 1 2.7550562 1.7222017 4 2 2.67859535 6 
4 2 101 1 2.7550562 1.7222017 4 3 3.05255879 14 
4 2 101 1 2.7550562 1.7222017 4 4 3.01621791 25 
5 2 101 1 1.385013 1.3520328 6 0 1.60177795 2 
5 2 101 1 1.385013 1.3520328 6 1 1.60177795 2 
5 2 101 1 1.385013 1.3520328 6 2 2.11883077 4 
5 2 101 1 1.385013 1.3520328 6 3 1.46064965 6 
5 2 101 1 1.385013 1.3520328 6 4 1.39344669 10 
8 2 101 1 1.4687257 1.6769012 8 0 1.90138995 2 
8 2 101 1 1.4687257 1.6769012 8 1 1.73302452 2 
8 2 101 1 1.4687257 1.6769012 8 2 1.68813332 6 
8 2 101 1 1.4687257 1.6769012 8 3 1.51933138 8 
8 2 101 1 1.4687257 1.6769012 8 4 1.46043713 12 
100 2 101 1 1.3448838 1.3456776 148 0 1.35480052 14 
100 2 101 1 1.3448838 1.3456776 148 1 1.34846487 26 
100 2 101 1 1.3448838 1.3456776 148 2 1.34463645 50 
100 2 101 1 1.3448838 1.3456776 148 3 1.34460059 100 
100 2 101 1 1.3448838 1.3456776 148 4 1.34465285 198 
